id,expression,associated_with,sense
a_dicto_secundum_quid,a dicto secundum quid ad dictum simpliciter,Aristotle,"Aristotle uses this expression to differentiate between statements that are true in a specific context (secundum quid) and those that are universally true (simpliciter). He emphasizes that many arguments can be valid under certain conditions but fail when considered in a broader, more general context."
a_dicto_secundum_quid,a dicto secundum quid ad dictum simpliciter,Thomas Aquinas,"Aquinas interprets this phrase in the context of theological and moral discussions, suggesting that moral truths can be contingent upon circumstances (secundum quid) but must also be understood in their absolute form (simpliciter) to grasp their full significance in ethical reasoning."
a_dicto_secundum_quid,a dicto secundum quid ad dictum simpliciter,Immanuel Kant,"Kant might interpret this expression in relation to his categorical imperative, arguing that moral laws must be applied universally (simpliciter) rather than conditionally (secundum quid). He stresses the importance of acting according to maxims that can be willed as universal laws."
a_dicto_secundum_quid,a dicto secundum quid ad dictum simpliciter,Leibniz,"Leibniz could view this distinction as a reflection of his principle of sufficient reason, where every truth can be understood in a specific context (secundum quid) but must ultimately relate to a universal truth (simpliciter) that explains why things are the way they are."
a_dicto_simpliciter_ad,a dicto simpliciter ad dictum secundum quid,Aristotle,"Aristotle uses this expression to differentiate between absolute statements and those that are conditional or context-dependent. He argues that a statement that is true in a general sense may not hold true in specific cases, emphasizing the importance of context in philosophical discourse."
a_dicto_simpliciter_ad,a dicto simpliciter ad dictum secundum quid,Thomas Aquinas,"Aquinas interprets this phrase in the context of moral theology, suggesting that moral principles can be stated in absolute terms but must be applied with consideration of specific circumstances. He emphasizes the need for prudence in applying universal moral laws to particular situations."
a_dicto_simpliciter_ad,a dicto simpliciter ad dictum secundum quid,Immanuel Kant,"Kant views this distinction as crucial in his moral philosophy, where he argues that categorical imperatives must be understood in their universal form, but their application may vary based on individual situations. He stresses that while moral laws are absolute, their implementation requires a nuanced understanding of context."
a_dicto_simpliciter_ad,a dicto simpliciter ad dictum secundum quid,David Hume,"Hume interprets this expression in the context of empirical observation and skepticism. He suggests that while generalizations can be made from experience, they must be tempered by the recognition that exceptions exist, thus advocating for a more cautious approach to philosophical claims."
a_fortiori,a fortiori,Aristotle,"In Aristotelian logic, 'a fortiori' is used to denote a type of argument that draws a conclusion based on a stronger premise. If something is true in a weaker case, it must also be true in a stronger case. For example, if a person can lift 50 pounds, then a fortiori, they can lift 30 pounds."
a_fortiori,a fortiori,Thomas Aquinas,"Aquinas employs 'a fortiori' in his theological arguments to demonstrate the existence of God. He argues that if God can create the universe from nothing, then a fortiori, He can sustain it. This reasoning emphasizes the greater power and capability of God compared to human understanding."
a_fortiori,a fortiori,David Hume,"Hume uses 'a fortiori' in his discussions of causation and human understanding. He suggests that if we can observe a weaker causal relationship, we can infer a stronger one. For instance, if we see that a certain event leads to a specific outcome, we can a fortiori conclude that a more significant event will lead to a more substantial outcome."
a_fortiori,a fortiori,Immanuel Kant,"Kant applies 'a fortiori' in his moral philosophy, particularly in the context of duty and obligation. He argues that if one has a duty to help those in dire need, a fortiori, one has an even greater duty to assist those who are less fortunate but still in need. This highlights the moral weight of obligations based on the severity of circumstances."
a_necesse_ad_esse,a necesse ad esse valet consequentia,Aristotle,"Aristotle interpreted the phrase as emphasizing the necessity of existence in relation to potentiality and actuality. He believed that for something to exist (esse), it must first be necessary (necesse) in its essence, meaning that existence is not arbitrary but grounded in the nature of the being itself."
a_necesse_ad_esse,a necesse ad esse valet consequentia,Thomas Aquinas,"Aquinas viewed this expression through the lens of his metaphysical framework, arguing that the necessity of existence is tied to the concept of God as the necessary being. He posited that all contingent beings derive their existence from a necessary being, thus establishing a causal relationship where necessity leads to actual existence."
a_necesse_ad_esse,a necesse ad esse valet consequentia,David Hume,"Hume critiqued the notion of necessity in relation to existence, suggesting that our understanding of necessity is often based on habit and custom rather than rational deduction. He argued that the connection between necessity and existence is not as straightforward as the expression implies, as we cannot assume that what is necessary must also exist in reality."
